source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rradec
5516037218502245632,124.6987789089226,-47.84933720078426,-2.007763222848671,0.17024957,5.232225651572408,0.1655761,1.6435814,18.73074,0.4443659192333591,0.15014674,,,264.0921846995711,-6.654197714373459,1.0436838,355,37,37,0,1.0,0.06637838252692364
5516037390293339392,124.66027279773954,-47.84397868344076,-3.5176248437540547,0.04489745,4.0094572098336645,0.0454121,1.0819683,16.33452,0.4460297283037135,0.04144704,,,264.07325680073296,-6.672720319498607,1.1765203,395,41,42,0,1.0,0.08153659010046528
5516037390293340416,124.6670441922871,-47.848173816003076,-3.3165161872506195,0.123580426,3.4431130271729,0.122561075,1.3714123,18.360506,0.23745831202926013,0.11536847,,,264.0793094188291,-6.671267219540184,1.0317649,372,38,41,0,1.0,0.0801979502419663
5516037532036386176,124.6862347339174,-47.82278312167468,-3.967895359421128,0.088275716,5.202217599649028,0.08732506,1.4437771,17.740255,0.3323433750915744,0.08288117,,,264.0652425522424,-6.646459679603956,1.0840675,355,41,41,0,1.0,0.04839084747895025
5516037562092014592,124.6712674216624,-47.82736840443028,-3.9433888715738097,0.024681374,5.282115848751691,0.024742298,1.8394518,15.262014,0.18105680316103406,0.022677653,65.3911,5.7800274,264.06346727296574,-6.6573637088940565,1.0537635,385,40,38,0,1.0,0.06207587309691554
5516037562092014720,124.6725060808323,-47.82579551078685,-2.9385960114729976,0.11775234,4.453394635716224,0.118091285,1.5382004,18.328854,0.34581459383421165,0.110075966,,,264.0626145776899,-6.655799021901416,1.000472,372,35,35,0,1.0,0.06010174813835431
5516037566396119424,124.66919570837703,-47.822834432923294,-4.741225587661878,0.14135458,5.393292289040893,0.13973382,1.6130257,18.60115,0.5799260221070184,0.13052325,,,264.0588927861806,-6.656004711965297,1.0083566,380,39,41,0,1.0,0.06073828177758303
5516038352366118400,124.66957290926102,-47.792872360662166,-2.59628443857806,0.049463257,2.891153303933578,0.049757265,2.0455189,16.740593,0.12970985410668598,0.044862144,,,264.0339408680578,-6.63916621150156,1.0425059,380,46,44,0,1.0,0.048130934669902814
5516038356658490496,124.67479749484588,-47.788045200665124,-1.7157293757805574,0.12647411,2.3353264365749267,0.12579155,0.95420456,18.42095,0.2514025497674042,0.11091366,,,264.031859644739,-6.6335672223644035,1.0462072,398,40,42,0,1.0,0.04241953116474496
5516038386725862016,124.65398940701601,-47.791967783149374,-3.3737684559995245,0.065268666,5.801717380754628,0.06975832,1.4180565,17.276464,0.2512293465656433,0.060965836,,,264.0273345220135,-6.647373800715436,1.0163846,351,39,36,0,1.0,0.06347942931428008
5516038421085588480,124.66338553198747,-47.79460393673477,-3.388270510975504,0.2899173,6.3926564495906995,0.30648142,1.6625423,19.630358,0.6165986256751002,0.26907012,,,264.0330687272863,-6.643585031363931,1.0456095,360,36,39,0,1.0,0.05451516406421729
5516038421085593088,124.66467653442116,-47.79343162508033,-3.637652297916321,0.12297868,6.121572710074384,0.1331426,1.5865173,18.369171,0.4123184772000506,0.10866843,,,264.0325714252629,-6.642212984876316,1.0224694,381,42,41,0,1.0,0.05305574552406079
5516038597176600448,124.64047440365631,-47.77785788203629,-3.2987865222443933,0.07199787,6.006677607053287,0.07211743,1.4087391,17.448847,0.5179321504427971,0.064964585,,,264.0104436505003,-6.647101465591769,1.0912017,410,47,47,0,1.0,0.07705404895626972
5516038597188256640,124.64654479884263,-47.78711677052602,-3.9129024319849774,0.08567455,5.851853947659815,0.08823085,1.4501934,17.763336,0.4892832955771332,0.07874989,,,264.0204775198009,-6.6488438569767085,1.033372,378,39,43,0,1.0,0.07061615412858266
5516038700267462272,124.64295408760174,-47.75360461121708,-2.299895223073688,0.037649725,3.326522560311897,0.03806152,1.7882872,15.996731,0.23921825186441015,0.03173606,,,263.9910589405391,-6.632260443955087,1.0409311,355,38,33,0,1.0,0.0807748445425051
5516040109016791168,124.74797281964258,-47.84798688342867,-3.4177077493182497,0.045424063,4.177088453135783,0.049347255,1.3509836,16.619623,0.2064436314653078,0.040714093,,,264.10951548747977,-6.625995216946646,1.0115741,381,44,43,0,1.0,0.06963353277875413
5516040109016978176,124.74189575436895,-47.85247206928986,-3.2769366192776923,0.041857366,3.3697802811362445,0.045666616,1.0716381,16.441767,0.49493793592294943,0.0385135,,,264.1109882590424,-6.6318780717072885,1.0581477,369,39,38,0,1.0,0.07135304710920932
5516040173432033024,124.7278575672231,-47.84789542373542,-4.12978892557279,0.19769657,5.255433060739741,0.20498013,1.4065781,19.108395,0.40542040786320144,0.18042718,,,264.10188819702256,-6.637168456689401,1.0209846,378,39,39,0,1.0,0.06325949132539421
5516040177736265472,124.74211992418066,-47.844232229927464,-4.488777688365239,0.071545064,4.96089082036173,0.07239882,1.3814392,17.317505,0.42455467624113963,0.062115908,,,264.1041754961907,-6.6271746185302,1.0461628,364,38,36,0,1.0,0.06377650721663992
5516040212084508928,124.75082365503407,-47.837208867408656,-1.8337848571909459,0.12199493,3.9012581336834207,0.12096756,1.5958176,18.172222,0.24336390871172037,0.101994425,,,264.10156525766206,-6.618414904076914,1.0530409,366,40,38,0,1.0,0.061668507746869064
5516040212096001920,124.74453963261094,-47.833678143687216,-4.360866096352807,0.08823905,5.480272638708442,0.09520835,1.2946568,17.804071,0.2510049130244211,0.079386465,,,264.0962503511538,-6.619959751318366,0.9572619,370,36,37,0,1.0,0.05537941248374092
5516040212096005376,124.74986233274632,-47.83818984104921,-3.333295970315107,0.0182172,4.137607051972469,0.019361319,2.0782766,14.353573,0.32773725993550484,0.016240247,57.59025,2.8379211,264.10202526158236,-6.619496519570492,1.2048272,394,45,43,0,1.0,0.061979744841076635
5516040242151584384,124.77757525772482,-47.828448027024365,-4.34463907789749,0.23864852,5.119850112015662,0.26302195,2.1267834,19.297878,0.5330498899619633,0.21677668,,,264.10428351460115,-6.598616929264535,1.0041242,361,38,38,0,1.0,0.07410968176230266
5516040246455748736,124.77358636666075,-47.83499132997135,-1.9702405882627159,0.081808746,4.114353076465703,0.08230943,1.8132172,17.646795,0.16235151430349734,0.07257824,,,264.10825969314607,-6.604480742075947,1.0204046,382,43,37,0,1.0,0.07503500490607883
5516040246455750656,124.78241647479867,-47.833685998315346,-1.9026443964041624,0.062200684,3.862619858114202,0.06334879,2.3926735,17.175753,0.14045002859049432,0.055821963,,,264.1104852962797,-6.598828252175352,0.9661335,391,45,45,0,1.0,0.08110267327574126
5516040276510226688,124.78881752837991,-47.82118586528409,-3.3566295059288156,0.10339774,5.074107004411806,0.105414145,1.7524815,17.964458,0.21778675041740847,0.0919826,,,264.1024329154023,-6.588305159886295,1.1134508,388,42,41,0,1.0,0.08004426345562059
5516040276510302592,124.79223099575616,-47.81738871326621,-3.0312081510563527,0.12032759,4.384830942271254,0.11860395,1.6631927,18.340183,0.6287053716928378,0.108267196,,,264.10053949557914,-6.584288449836407,0.99615735,374,39,38,0,1.0,0.08155879346698888
5516040276511334400,124.7808958596954,-47.82473137526099,-5.251235680271981,0.212962,3.624580114830419,0.21945629,1.8867397,19.188536,0.5984875229515322,0.19686756,,,264.10242172383767,-6.594697351108695,1.0113683,365,40,42,0,1.0,0.07483013215127642
5516040315175221248,124.77133346640566,-47.81510334173062,-2.5040533418599216,0.17029028,3.261762929481644,0.1815003,1.9580784,18.836657,0.5485365856867351,0.15462646,,,264.0907720309788,-6.594680681185517,0.974876,364,36,38,0,1.0,0.06172483731542194
5516040315175221888,124.76163850972591,-47.83174869938856,-3.7634230574819227,0.08705584,5.091127529747082,0.09001893,1.635601,17.693153,0.31873945410255183,0.07481983,,,264.10105774202543,-6.609345004619307,0.99138165,360,39,39,0,1.0,0.06414152964030159
5516040345230870912,124.77580644024901,-47.80891140302751,-2.1275671313713382,0.11291582,3.186774906344411,0.11811199,1.5027657,18.15602,0.4091836882706774,0.10116209,,,264.08727249792884,-6.588741141221291,0.92641634,361,38,38,0,1.0,0.06314345614909178
5516040345231974912,124.79223760724118,-47.80945835028024,-2.3299128883478017,0.1462032,3.0563945254027445,0.13902478,1.8446922,18.623936,0.26499134735133406,0.12982213,,,264.09390771628495,-6.579873922678617,1.0470829,392,39,39,0,1.0,0.07880820086026569
5516040727492085760,124.79536891815782,-47.8053728332202,-1.9415237997612438,0.11308437,4.060565411640762,0.10834884,1.6588306,18.023678,0.4463390785066128,0.09980644,,,264.09166753044053,-6.5758537539159505,1.0778425,368,38,39,0,1.0,0.08069793866448127
5516043128369612416,124.72671300856994,-47.82881560730063,-1.6183787387386903,0.20978923,3.2516455448911694,0.22566058,1.2414188,19.16705,0.6032277836104583,0.19131532,,,264.08548653289836,-6.627208363788295,0.9878718,372,37,37,0,1.0,0.04431142029232503
5516043162729357696,124.73904284552724,-47.82739458806641,-2.107118008395843,0.12552296,3.1409079679831953,0.14445199,1.4681301,18.34943,0.327763251618983,0.11259692,,,264.088926858251,-6.61953623031724,1.0641358,379,43,44,0,1.0,0.04722883088862006
5516043167033495040,124.734584635232,-47.82185371996484,-2.0169797720594516,0.12090864,4.327377433647156,0.13397409,1.3465767,18.381327,0.26478618715703517,0.109680176,,,264.08261479247085,-6.618946315965752,0.9955912,390,43,42,0,1.0,0.04027609136200492
5516043167033495168,124.74044674854584,-47.81435107053449,-3.6352196368861236,0.12354023,4.650786574095699,0.112361595,1.5455723,18.234816,0.5108547782852544,0.10364863,,,264.07853691108704,-6.611504809712101,0.98577553,367,41,41,0,1.0,0.03704794115144153
5516043167033496576,124.74287887071065,-47.81591537173322,-3.7544933728855776,0.07241329,3.5757443546903755,0.06798702,1.2684898,17.271889,0.4649877936673399,0.06362736,,,264.08075980176534,-6.6110162036086395,1.0787591,371,41,42,0,1.0,0.03980417331421536
5516043167033499008,124.74657843297494,-47.82082764746381,-4.350809105021701,0.04014071,4.880880069522135,0.040041946,1.4597492,16.239357,0.51315784055938,0.03678371,,,264.0862608252019,-6.611680694189917,1.0948498,388,42,41,0,1.0,0.04594492363468497
5516043167033501184,124.7523935967347,-47.82191739386517,-3.504964465242353,0.07102859,2.6182158868166905,0.07166574,1.4491215,17.397911,0.345942119077722,0.06340459,,,264.0893573364197,-6.609040277021537,0.9974364,371,39,40,0,1.0,0.05064745387994781
5516043197090249344,124.7106379345422,-47.82734026934498,-3.2142186035519966,0.0801609,3.9260080025300192,0.08115716,1.7206783,17.650728,0.2047374744148715,0.07727352,,,264.07821678355896,-6.635363240685735,0.9746585,349,42,40,0,1.0,0.042293785617576345
5516043197090249472,124.70911096312965,-47.82528684216793,-3.0492649703032653,0.12340588,3.39869039945463,0.12402652,1.3152733,18.410954,0.572432487494285,0.11356777,,,264.07592442994365,-6.635075441226216,1.028331,393,43,41,0,1.0,0.040540758174088684
5516043201393225216,124.71313634743022,-47.81750607215304,-4.2500652018456755,0.024531659,6.303724477245353,0.023855457,1.0562658,15.190694,0.5762601509042008,0.02244334,,,264.0709214557867,-6.628506597979219,1.0855087,387,41,38,0,1.0,0.03220651172231165
5516043231448893952,124.73572699063729,-47.810297965372534,-3.3332625820337816,0.17132808,3.933150207365051,0.17779374,1.7701244,18.904108,0.3581840400151578,0.15855202,,,264.0733715484045,-6.611887967145816,1.0062914,363,38,38,0,1.0,0.03094857059550506
5516043235752965760,124.73240109716043,-47.80230334013162,-2.275792993370917,0.09178189,5.0317332818660185,0.09585654,1.7720299,17.915424,0.41660322524829996,0.08352522,,,264.0654305780721,-6.609303282405424,0.9667295,381,41,41,0,1.0,0.022659930677092103
5516043235752970240,124.73700664823897,-47.810989437708145,-3.6852446697548005,0.10758776,6.1135092071567865,0.11064541,1.482336,18.15203,0.3858068876948194,0.0964091,,,264.07443101339237,-6.61155764804411,0.9505402,366,41,41,0,1.0,0.032275622795363265
5516043270112711296,124.74814094917366,-47.80836553957549,-3.5379281475257227,0.020713687,4.722098610654633,0.02098244,1.8779964,14.898032,0.2489460006565557,0.018864462,26.658506,3.3726962,264.0764181202332,-6.603882674683739,0.9638451,378,43,44,0,1.0,0.0384888880614183
5516043270112712448,124.75487525302893,-47.80313811104277,-2.3433249195034804,0.10411974,5.318419513655265,0.102726474,1.7028103,18.10393,0.43479343241623636,0.09662246,,,264.0745741312085,-6.597217181429122,0.97097623,359,39,36,0,1.0,0.04162965222233996
5516043270112715648,124.7598801402838,-47.810360186594444,-4.250484265721201,0.21882477,6.236158100344998,0.21299896,1.6224823,19.047506,0.6297703092826267,0.19894116,,,264.0824986577987,-6.598437282726178,1.0648414,331,35,35,0,1.0,0.04941627997459608
5516043304472452608,124.7681626847422,-47.791893995608596,-3.4871525704995197,0.022372274,4.915171573527557,0.023838934,1.9352322,14.951001,0.2682703127742694,0.020774132,58.008743,4.3021,264.07016031507766,-6.583546918101607,1.1047755,361,39,41,0,1.0,0.0514120507253453
5516043304472453248,124.76785773016083,-47.79534396792719,-2.999149284976532,0.07155179,3.231445471216943,0.073994346,1.4332943,17.494474,0.21671685236321625,0.06855948,,,264.07293230255016,-6.585635315410654,1.0222931,323,41,37,0,1.0,0.05165125022157838
5516043304472457088,124.77026274232472,-47.80667170276053,-3.124047730322229,0.027141532,2.6372657538339905,0.0270108,1.409358,15.423172,0.44955813469531875,0.023900906,,,264.08331459814264,-6.590590527965133,1.0160204,366,41,40,0,1.0,0.057164504138670844
5516043334528150144,124.73798101211396,-47.79889851990046,-2.7128551851559957,0.22801724,2.6592730991214175,0.23394957,1.485611,19.333765,0.4679001252974873,0.22243495,,,264.0646773039256,-6.604295174295837,0.99316454,341,36,36,0,1.0,0.02474644950921485
5516043338832188160,124.75451511733188,-47.79984462652467,-3.537350913403794,0.041854624,2.0658850928874783,0.042347413,1.3588467,16.296225,0.425797110044614,0.040364984,,,264.07168267746584,-6.595587647784664,1.0519828,370,41,39,0,1.0,0.040012174967029454
5516043373191924736,124.75756447574281,-47.78982163023033,-2.874221954099486,0.09966555,4.488371849320513,0.10076516,1.7503185,17.878654,0.2827809560731363,0.0921728,,,264.06444158325377,-6.588313416609186,1.124318,379,41,38,0,1.0,0.040646011528319745
5516043373191925888,124.76150936957104,-47.7879956134096,-4.182068878342655,0.026012177,3.0135264662521144,0.026354315,1.4539137,15.490921,0.35651340069163806,0.024103258,,,264.0643967851929,-6.585095164418286,1.0174279,379,41,41,0,1.0,0.044433167843553195
5516043403247587328,124.71007740267655,-47.810863624692686,-1.895461052867125,0.10072454,2.4346101283708457,0.0990214,1.4462147,18.076605,0.30164037421488743,0.08864671,,,264.0642119199989,-6.626525786783997,0.996385,389,40,39,0,1.0,0.026281533650868476
5516043407540091776,124.71008568536071,-47.79994310279662,-2.663844725507796,0.27098867,3.1517494978838902,0.22063209,1.1806126,19.288769,0.5111205885266314,0.21016929,,,264.0550725078116,-6.620456168159603,1.0114225,346,10,10,0,1.0,0.016030597710468355
5516043407551647616,124.69793009158674,-47.809282176055085,-3.5726357748770448,0.053860903,6.748188644646698,0.05197401,1.3190536,16.775982,0.40008168400167604,0.04770699,,,264.058327158855,-6.6324321704880465,1.0528541,372,41,41,0,1.0,0.030534930527172134
5516043407551650944,124.70748093534257,-47.809902689605416,-2.3494736380521664,0.0650044,3.996552800220986,0.06242631,1.2363358,17.239841,0.6247306011212252,0.05778623,,,264.06243250243364,-6.627442253045641,0.9908512,377,39,40,0,1.0,0.026199777506176605
5516043407551651200,124.7066048994442,-47.81132062489292,-3.5128178383159145,0.04779627,5.919432374670246,0.0486997,1.2391748,16.702604,0.4326261154323022,0.043628164,,,264.06329070639975,-6.628718956739344,1.0288217,384,42,40,0,1.0,0.027842368962231606
5516043437607369088,124.72397547556103,-47.79966461377625,-3.438208716951821,0.08540403,5.26066151785951,0.09780492,1.3714314,17.787016,0.4916023239717428,0.08155114,,,264.0600565632373,-6.612543066091064,1.0291989,376,39,39,0,1.0,0.015681268828456305
5516043441911391232,124.72398330614973,-47.79375280663387,-1.795503515175001,0.045694474,3.4825096100570505,0.0485769,1.8807268,16.624474,0.14058777371803255,0.042807266,,,264.05511094891426,-6.609254514470036,0.91700196,362,40,38,0,1.0,0.01068039884826895
5516043441911392128,124.71727918032238,-47.80574397317209,-2.15894653803986,0.2288213,2.7150350413771633,0.23573822,1.3765106,19.335653,0.5035865865256156,0.2244024,,,264.06263037861925,-6.619660107343425,0.94671184,346,34,36,0,1.0,0.020194601419535777
5516043441911393536,124.72824230156402,-47.795646778363896,-2.4768095521003333,0.05033137,2.88634672463855,0.049554795,1.8985596,16.801874,0.1396894749332841,0.046914537,,,264.05829643516654,-6.60792772646891,0.99033034,370,38,39,0,1.0,0.01500434462545915
5516043441911394048,124.73034494229967,-47.794727960748226,-2.506605455488432,0.05686959,2.7125026132728447,0.05741637,1.9212341,17.030647,0.149477305403831,0.053622246,,,264.05831738715904,-6.606242793393199,1.0648248,366,38,36,0,1.0,0.016078385352224847
5516043471967091328,124.6919061353225,-47.80526657107284,-4.566237028065586,0.10010446,5.108638915990528,0.10053609,1.4703941,18.072235,0.34542411220073027,0.090239115,,,264.0527033872133,-6.6335675761287165,0.9830098,395,40,41,0,1.0,0.03202620638620189
5516043471967098112,124.7033815411848,-47.80220422836954,-2.5586915676350177,0.33381617,2.445921293066031,0.33639842,1.3111153,19.899305,0.647324016558875,0.32242778,,,264.05444787967747,-6.625456837750751,1.0637332,360,39,38,0,1.0,0.02160468481715814
5516043471967100800,124.6993336971058,-47.801267506562,-2.151258313724032,0.1891687,4.223214717653853,0.18986647,1.7028694,19.067736,0.40814641491869613,0.17864771,,,264.05214365652904,-6.6271978946584245,0.9785987,367,39,40,0,1.0,0.02375367075675611
5516043471967106048,124.69447008338433,-47.7996352688742,-2.4886254606069875,0.12958449,2.9679240570538115,0.12702112,1.8967037,18.459547,0.255954098628425,0.11818457,,,264.04895083301204,-6.629008675357592,1.0583323,370,40,39,0,1.0,0.026692442372845473
5516043471967132928,124.6970932617823,-47.79257004695221,-2.597125531463159,0.10681676,2.6864939074948904,0.110022895,1.2936974,18.125029,0.2310142020455907,0.09455026,,,264.04402027638133,-6.623620174509191,0.99599886,372,42,39,0,1.0,0.021243779854164497
5516043471977402752,124.6935915851431,-47.80663162441904,-5.255293680885304,0.12436241,4.261593615024996,0.12203213,1.6140652,18.41411,0.4655118869012586,0.10997427,,,264.0544791111239,-6.633383930999103,1.0209233,402,39,38,0,1.0,0.03160914386921148
